ID,User,Tweet_text,Likes,Retweets
1648286066607116288,Joashnjuguna,"My phone fell out of my pockets while I was on a boda in Kampala.
The boda boda guy behind us saw it took it,followed us and gave me back my phone💯
If it was the great Kanairo,that phone would have been sold for 500 bob to a random stranger downtown 😂😂",0,0
1648286066174984192,RenadElnaggarr,RT @maybeeevirgo: when i get the random urge to tell my mom all my secrets when we’re alone together: https://t.co/PKHYhcWpYl,0,2353
1648286064996679680,itsglacity,"@ThePizzaMuncher I agree, but this random lever being green for no reason doesn't add much.
I feel like the reader might find more enjoyment being able to imagine those smaller details for themselves yknow? 🤔 It's smthn I wanna test a bit",0,0
1648286064866643968,M3G4N271514,"RT @bluechip_io: 💵50 USDT= 💙🔁👤?

Yep! BlueChip is giving away 50 USDT💰 

How?
💙Like this tweet
🔁retweet it
👤Subscribe to @bluechip_io

Winn…",0,2211
1648286058562596865,KlolZone,"Who knows Kohli's alt account on twitter, it could be any random account like aswin tweetz or mahiyank",0,0
1648286058323271683,foulharlequin,RT @CHRISF0GLE: Elaboration: the curtains were not fucking blue if the thing being analyzed is a work of fiction—they don’t exist. In ficti…,0,162
1648286054431227904,drei_bns,"WTS/LFB ITZY IVE TWICE BLACKPINK NEWJEANS : HELP RT (PH ONLY)

- ONHAND 
- MINT CONDITION 
- TINGI
- RANDOM GG PC
- PAYO/1 WEEK DOP + LSF + PF

- CHECK MY PIN POST BEFORE CLAIMING

MOP - GCASH
MOD - SCO/DIRECT JNT
REPLY MINE OR DM TO CLAIM https://t.co/Gq20DIezjJ",0,0
1648286051683934208,jenyoit,"RT @pinkbloodunnie: [SEALED CANDY ALBUM GIVEAWAY] 💚

- MBF, RT + like this tweet AND my pinned tweet

Winner decided by wheel of names / ra…",0,145
1648286038606106629,Faza2207,"RT @keyyy_fo: Giveaway iseng² jilid III
Special debut japan+Selebrasi 1k flowers Keyfo for SeNum*
~30k/3 orang

✨️RT &amp; Like tweet ini
✨️Fol…",0,35
1648286037465264128,Winter_ie,@mikejiggy56 It's just a random voting. But seems the robots take it very serious for twice and we don't know why 😂😂,0,0
1648286031001841664,RahatHa918,"RT @CryptoTownEU: 🚀 Airdrop: Reality VR
💰 Value: 500 $RVR
🏆 Winners: 200 random
👥 Top 50 Referrals: 5,000 $RVR
📊 Contract: PolygonScan
📅 En…",0,169
1648286030716600320,wanna17things,"RT @Jillyacett_: ‼️LOUIS VUITTON SNEAKERS GIVEAWAY‼️ 
VOTE FOR JAY CHANG until April 18-20

🚩One random winner will be selected of a never…",0,250
1648286029793591297,MomoKuma626,RT @niggaolas: Mind you Janet Jackson has influenced kpop artists like BoA and many other kpop artists for you to say random sht like this…,0,552
1648286025368600578,66Mhz,"RT @easyfiesi: 🎁New #Giveaway🎁 You have the Chance to win 1 Random Premium Steam Key! #Steam #PC 

For Enter the Giveaway pls:  

1. Follow…",0,8
1648286025305948160,arvighat22,"RT @script_network: COMPETITION TIME!  GUESS THAT FILM 🎞️

Guess the movie based on the emojis: 🧒🏻🍫🏭🍭🍬🍩🎉
To win: 
- Comment your answer bel…",0,1603
1648286024164941824,Random_Dude_K,RT @stadcfc: We used to rule the worlddd 🕊️ https://t.co/xNsaODht5d,0,191
1648286024156708864,orangiecooler,RT @httptrashzy: me when I'm cleaning my room then suddenly got distracted with random things I found: https://t.co/C0A0NJaGsG,0,29133
1648286023716093952,66Mhz,"RT @Starr_gael: Two $25,000 Evaluation Account GIVEAWAY to 2 random followers. 

Courtesy of  @BlueGuardiancom 

Criteria to Win ⬇️

•You M…",0,7
1648286023410122753,yoshiisugar,"RT @ScottLEOWarrior: I will send one random follower $100 in 24hrs all you have to do is RT and be following myself &amp; @alaska_game

RT thei…",0,5780
1648286020159569920,Harithevos6,"RT @CryptoTownEU: 🚀 Airdrop: Reality VR
💰 Value: 500 $RVR
🏆 Winners: 200 random
👥 Top 50 Referrals: 5,000 $RVR
📊 Contract: PolygonScan
📅 En…",0,169
1648286017114259459,nafee__sah,RT @wkclea: private relationship with random flexing &gt;&gt;&gt;,0,5158
1648286013100285952,fatstat60,"RT @CoffeeCurls: 📚📚📚 GIVEAWAY 📚📚📚
#win a signed copy of Canaries in the Coal Mine by @greenwoodross To enter simply RT and reply YES to thi…",0,117
1648286009157726209,LatnAmericaDict,"RT @castletongreene: What particularly bothers me about this is that it isn't just a random communist symbol, this is the Soviet Union flag…",0,28
1648286008755232768,thateonwawa,RT @wkclea: private relationship with random flexing &gt;&gt;&gt;,0,5158
1648286008511959043,Bertrand6gqj0,"RT @CryptoEarning17: 📣 Shibot Airdrop Event 

🎁 Total Reward Pool 3,75 Million Shibot For 10,000 Random participants 

To Enter:
✅ Follow @…",0,5956
1648286006985015296,malakbbyy,RT @wkclea: private relationship with random flexing &gt;&gt;&gt;,0,5158
1648286004531593216,Rayhanulkabir44,"RT @Airdrop6_com: New #airdrop: Chitaverse (Random 1000)
Reward: 20,000 BCT (~$7.5) 
News:  CoinStore, Coinmarketcap
Distribution date: May…",0,2422
1648286003147440128,Cryptow03,"Total Airdrop Pool is 50,000 $GT Token 🎉

🏅Top 1-100 &amp; 7,000 Random Winner🏆

To Enter ⤵️
✅ Follow 
@Gee_Web3 

✅ Like Rt/Tag 2 Frnds
✅ complete all task  👉 https://t.co/u7Z8cvWz4A

7 day⏳
#bigairdrop #Giveaway  #Tokengiveway  #airdrop #airdroptoken  #Airdrops",0,0
1648285992686583808,MoarabiTheBest,"RT @Betxchange: How well do you know your #UCL trivia heading into the quarter-finals 2nd  leg ?

✅Follow our page
✍️Comment your answer wi…",0,32
1648285991071875073,ucboss12,"RT @Starr_gael: Two $25,000 Evaluation Account GIVEAWAY to 2 random followers. 

Courtesy of  @BlueGuardiancom 

Criteria to Win ⬇️

•You M…",0,7
1648285988609835010,Idiot_Of_Random,@Tsuma_Natsumi Gm melly,1,0
1648285984541507585,youngkun0192,"RT @SpillTheNa_: [RT and like very appreciated]

FREEBIES WAYV PHANTOM JAKARTA
For all wayzenni!! 
by @diamondgoldgurl &amp; @SpillTheNa_ 

Wha…",0,19
1648285982750302208,DRLarry184,"@Whatevawhateva8 @DemonHunter1780 @Solidarity_Star @LaurenWitzkeDE Why would I be happy a random person got their ass beat? She deserved her ass beat. THAT'S why I'm happy. 

https://t.co/wv8e3h7aVV",0,0
